poem_name,poet_name,poem_text,rank
Eğer,Can Yücel,"o kadar da önemli değildir bırakıp gitmeler,
arkalarında doldurulması mümkün olmayan boşluklar bırakılmasaydı eğer.
utanılacak bir şey değildir ağlamak,
yürekten süzülüp geliyorsa gözyaşı eğer…
belirsizliğe yelken açardı iri ela gözler zamanla,
öylesine derince bakmasalardı eğer…
çabuk unutulurdu ıslak bir öpücüğün yakıcı tadı belki de,
kalp,göğüs kafesine o kadar yüklenmeseydi eğer…
düşlere bile kar yağmazdı hiçbir zaman
meydan savaşlarında korkular aşkı ağır yaralamasaydı eğer…
rengi bile solardı düşlerdeki saçların zamanla,
tanımsız kokuları yastıklara yapışıp kalmasaydı eğer…
uykusuzluklar yıkıp geçmezdi kısacık kestirmelerin ardından,
dokunulası ipek ten bir o kadar uzakta olmasaydı eğer…
gerçekten boynunu bükmezdi papatyalar,
ihanetinden de onlar payını almasaydı eğer…
ıssızlığa teslim olmazdı sahiller,
kendi belirsiz sahillerinde amaçsız gezintilerle avunmaya kalkmamış olsaydın eğer…
sen gittikten sonra yalnız kalacağım
yalnız kalmaktan korkmuyorum da, ya canım ellerini tutmak isterse? 
evet sevgili,
kim özlerdi avuç içlerinin ter kokusunu,
kim uzanmak isterdi ince parmaklarına,
mazilerinde görkemli bir yaşanmışlığa tanıklık etmiş olmasalardı eğer…",11
İstanbul'u Dinliyorum,Orhan Veli Kanık,"İstanbul'u dinliyorum, gözlerim kapalı
Önce hafiften bir rüzgar esiyor; 
Yavaş yavaş sallanıyor
Yapraklar ağaçlarda; 
Uzaklarda, çok uzaklarda,
Sucuların hiç durmayan çıngırakları
İstanbul'u dinliyorum, gözlerim kapalı.
İstanbul'u dinliyorum, gözlerim kapalı; 
Kuşlar geçiyor, derken; 
Yükseklerden, sürü sürü, çığlık çığlık.
Ağlar çekiliyor dalyanlarda; 
Bir kadının suya değiyor ayakları; 
İstanbul'u dinliyorum, gözlerim kapalı.
İstanbul'u dinliyorum, gözlerim kapalı; 
Serin serin Kapalıçarşı
Cıvıl cıvıl Mahmutpaşa
Güvercin dolu avlular
Çekiç sesleri geliyor doklardan
Güzelim bahar rüzgarında ter kokuları; 
İstanbul'u dinliyorum, gözlerim kapalı.
İstanbul'u dinliyorum, gözlerim kapalı; 
Başımda eski alemlerin sarhoşluğu
Loş kayıkhaneleriyle bir yalı; 
Dinmiş lodosların uğultusu içinde
İstanbul'u dinliyorum, gözlerim kapalı.
İstanbul'u dinliyorum, gözlerim kapalı; 
Bir yosma geçiyor kaldırımdan; 
Küfürler, şarkılar, türküler, laf atmalar.
Bir şey düşüyor elinden yere; 
Bir gül olmalı; 
İstanbul'u dinliyorum, gözlerim kapalı.
İstanbul'u dinliyorum, gözlerim kapalı; 
Bir kuş çırpınıyor eteklerinde; 
Alnın sıcak mı, değil mi, bilmiyorum; 
Dudakların ıslak mı, değil mi, bilmiyorum; 
Beyaz bir ay doğuyor fıstıkların arkasından
Kalbinin vuruşundan anlıyorum; 
İstanbul'u dinliyorum.",12
Aşk İki Kişiliktir,Ataol Behramoğlu,"Değişir rüzgarın yönü, 
Solar ansızın yapraklar; 
Şaşırır yolunu denizde gemi, 
Boşuna bir liman arar.
Gülüşü bir yabancının, 
Çalmıştır senden sevdiğini; 
İçinde biriken zehir, 
Sadece kendini öldürecektir; 
Ölümdür yaşanan tek başına
Aşk iki kişiliktir.
Bir anı bile kalmamıştır, 
Geceler boyu sev....................",13
Anlayamadılar,Nazım Hikmet Ran,"Biz ince bel, ela göz, sütun bacak için sevmedik güzelim
Gümbür gümbür b....................",14
Çanakkale Şehitlerine,Mehmet Akif Ersoy,"Şu Boğaz Harbi nedir? Var mı ki dünyâda eşi? 
En kesîf orduların yükleniyor dördü beşi,
-Tepeden yol bularak geçmek için Marmara'ya-
Kaç donanmayla sarılmış ufacık bir karaya.
Ne hayâsızca tehaşşüd ki ufuklar kapalı! 
Nerde -gösterdiği vahşetle- ""bu: bir Avrupalı! ""
Dedirir -yırtıcı, his yoksulu, sırtlan kümesi,
Varsa gelmiş, açılıp mahbesi, yâhud kafesi! 
Eski Dünyâ, Yeni Dünyâ, bütün akvâm-ı beşer,
Kaynıyor kum gibi, tûfan gibi, mahşer mahşer. (1) 
Yedi iklîmi cihânın duruyor karşına da, (2) 
Ostralya'yla berâber bakıyorsun: Kanada! 
Çehreler başka, lisanlar, deriler rengârenk; 
Sâde bir hâdise var ortada: Vahşetler denk.
Kimi Hindû, kimi yamyam, kimi bilmem ne belâ...
Hani, tâ'ûna da züldür bu rezîl istîlâ! 
Ah o yirminci asır yok mu, o mahlûk-i asîl,
Ne kadar gözdesi mevcûd ise, hakkıyle sefîl,
Kustu Mehmedciğin aylarca durup karşısına; 
Döktü karnındaki esrârı hayâsızcasına.
Maske yırtılmasa hâlâ bize âfetti o yüz...
Medeniyyet denilen kahbe, hakikat, yüzsüz.
Sonra mel'undaki tahrîbe müvekkel esbâb,
Öyle müdhiş ki: Eder her biri bir mülkü harâb.
Öteden sâikalar parçalıyor âfâkı; 
Beriden zelzeleler kaldırıyor a'mâkı; 
Bomba şimşekleri beyninden inip her siperin; 
Sönüyor göğsünün üstünde o arslan neferin.
Yerin altında cehennem gibi binlerce lağam,
Atılan her lağamın yaktığı: Yüzlerce adam.
Ölüm indirmede gökler, ölü püskürmede yer; 
O ne müdhiş tipidir: Savrulur enkaaz-ı beşer...
Kafa, göz, gövde, bacak, kol, çene, parmak, el, ayak,
Boşanır sırtlara, vâdîlere, sağnak sağnak.
Saçıyor zırha bürünmüş de o nâmerd eller,
Yıldırım yaylımı tûfanlar, alevden seller.
Veriyor yangını, durmuş da açık sînelere,
Sürü hâlinde gezerken sayısız tayyâre.
Top tüfekten daha sık, gülle yağan mermîler...
Kahraman orduyu seyret ki bu tehdîde güler! 
Ne çelik tabyalar ister, ne siner hasmından; 
Alınır kal'â mı göğsündeki kat kat îman? 
Hangi kuvvet onu, hâşâ, edecek kahrına râm? 
Çünkü te'sis-i İlâhî o metîn istihkâm.
Sarılır, indirilir mevki'-i müstahkemler,
Beşerin azmini tevkîf edemez sun'-i beşer; 
Bu göğüslerse Hudâ'nın ebedî serhaddi; 
""O benim sun'-i bedî'im, onu çiğnetme"" dedi.
Âsım'ın nesli...diyordum ya...nesilmiş gerçek:
İşte çiğnetmedi nâmûsunu, çiğnetmeyecek.
Şühedâ gövdesi, bir baksana, dağlar, taşlar...
O, rükû olmasa, dünyâda eğilmez başlar,
Yaralanmış tertemiz alnından, uzanmış yatıyor, (3) 
Bir hilâl uğruna, yâ Rab, ne güneşler batıyor! 
Ey, bu topraklar için toprağa düşmüş asker! 
Gökten ecdâd inerek öpse o pâk alnı değer.
Ne büyüksün ki kanın kurtarıyor Tevhîd'i...
Bedr'in arslanları ancak, bu kadar şanlı idi.
Sana dar gelmeyecek makberi kimler kazsın? 
""Gömelim gel seni târîhe"" desem, sığmazsın.
Herc ü merc ettiğin edvâra da yetmez o kitâb...
Seni ancak ebediyyetler eder istîâb.
""Bu, taşındır"" diyerek Kâ'be'yi diksem başına; 
Rûhumun vahyini duysam da geçirsem taşına; 
Sonra gök kubbeyi alsam da, ridâ namıyle,
Kanayan lâhdine çeksem bütün ecrâmıyle; 
Mor bulutlarla açık türbene çatsam da tavan, (4) 
Yedi kandilli Süreyyâ'yı uzatsam oradan; 
Sen bu âvîzenin altında, bürünmüş kanına,
Uzanırken, gece mehtâbı getirsem yanına,
Türbedârın gibi tâ fecre kadar bekletsem; 
Gündüzün fecr ile âvîzeni lebriz etsem; 
Tüllenen mağribi, akşamları sarsam yarana...
Yine bir şey yapabildim diyemem hâtırana. 
Sen ki, son ehl-i salîbin kırarak savletini,
Şarkın en sevgili sultânı Salâhaddîn'i,
Kılıç Arslan gibi iclâline ettin hayran...
Sen ki, İslâm'ı kuşatmış, boğuyorken hüsran,
O demir çenberi göğsünde kırıp parçaladın; 
Sen ki, rûhunla beraber gezer ecrâmı adın; 
Sen ki, a'sâra gömülsen taşacaksın...Heyhât,
Sana gelmez bu ufuklar, seni almaz bu cihât...
Ey şehîd oğlu şehîd, isteme benden makber,
Sana âgûşunu açmış duruyor Peygamber.
(1)  İlk baskılarda:...kum gibi, mahşer mi, hakîkat mahşer.
(2)  İlk baskılarda:...duruyor karşında,
(3)  İlk baskıda: Vurulup tertemiz alnından, uzanmış yatıyor,
(4)  İlk baskılarda: Ebr-i nîsânı açık...",15
Aysel Git Başımdan,Attila İlhan,"Aysel git başımdan ben sana göre değilim 
Ölümüm birden olacak seziyorum. 
Hem kötüyüm karanlığım biraz çirkinim 
Aysel git başımdan istemiyorum. 
Benim yağmurumda gezinemezsin üşürsün 
Dağıtır gecelerim sarışınlığını 
Uykularımı uyusan nasıl korkarsın, 
hiçbir dakikamı yaşayamazsın. 
Aysel git başımdan ben sana göre değilim. 
Benim icin kirletme aydınlığ....................",16
Otuz Beş Yaş,Cahit Sıtkı Tarancı,"Yaş otuz beş! yolun yarısı eder.
Dante gibi ortasındayız ömrün.
Delikanlı çağımızdaki cevher,
Yalvarmak, yakarmak nafile bugün,
Gözünün yaşına bakmadan gider.
Şakaklarıma kar mı yağdı ne var? 
Benim mi Allahım bu çizgili yüz? 
Ya gözler altındaki mor halkalar? 
Neden böyle düşman görünürsünüz,
Yıllar yılı dost bildiğim aynalar? 
Zamanla nasıl deği....................",17
Monna Rosa -I- Aşk Ve Çileler,Sezai Karakoç,"Mona Rosa. Siyah güller, ak güller. 
Geyve'nin gülleri ve beyaz yatak.
Kanadı kırık kuş merhamet ister. 
Ah senin yüzünden kana batacak. 
Mona Rosa. Siyah güller, ak güller.
Ulur aya karşı kirli çakallar, 
Ürkek ürkek bakar tavşanlar dağa.
Mona Rosa bugün bende bir hal var. 
Yağmur iri iri düşer toprağa,
Ulur aya karşı kirli çakallar.
Açma pencereni perdeleri çek, 
Mona Rosa seni görmemeliyim.
Bir bakışın ölmem için yetecek. 
Anla Mona Rosa ben bir deliyim. 
Açma pencereni perdeleri çek.
Zeytin ağaçları, söğüt gölgesi, 
Bende çıkar güneş aydınlığına.
Bir nişan yüzüğü bir kapı sesi. 
Seni hatırlatır her zaman bana.
Zeytin ağaçları, söğüt gölgesi.
Zambaklar en ıssız yerlerde açar 
Ve vardır her vahşi çiçekte gurur.
Bir mumun ardında bekleyen rüzgar, 
Işıksız ruhumu sallar da durur.
Zambaklar en ıssız yerlerde açar.
Ellerin, ellerin ve parmakların 
Bir nar çiçeğini eziyor gibi.
Ellerinden belli olur bir kadın, 
Denizin dibinde geziyor gibi.
Ellerin, ellerin ve parmakların.
Zaman ne de çabuk geçiyor Mona. 
Saat onikidir söndü lambalar
Uyu da turnalar girsin rüyana, 
Bakma tuhaf tuhaf göğe bu kadar.
Zaman ne de çabuk geçiyor Mona.
Akşamları gelir incir kuşları, 
Konarlar bahçemin incirlerine.
Kiminin rengi ak kiminin sarı. 
Ah beni vursalar bir kuş yerine.
Akşamları gelir incir kuşları.
Ki ben Mona Rosa bulurum seni 
İncir kuşlarının bakışlarında.
Hayatla doldurur bu boş yelkeni. 
O masum bakışların su kenarında.
Ki ben Mona Rosa bulurum seni.
Kırgın kırgın bakma yüzüme Rosa. 
Henüz dinlemedin benden türküler.
Benim aşkım uymaz öyle her saza. 
En güzel şarkıyı bir kurşun söyler.
Kırgın kırgın bakma yüzüme Rosa.
Artık inan bana muhacir kızı, 
Dinle ve kabul et itirafımı. 
Bir soğuk, bir mavi, bir garip sızı 
Alev alev sardı her tarafımı.
Artık inan bana muhacir kızı.
Yağmurdan sonra büyürmüş başak, 
Meyvalar sabırla olgunlaşırmış.
Bir gün gözlerimin ta içine bak 
Anlarsın ölüler niçin yaşarmış.
Yağmurdan sonra büyürmüş başak.
Altın bilezikler o kokulu ten 
Cevap versin bu kuş tüyüne.
Bir tüy ki can verir gülümsesen, 
Bir tüy ki kapalı geceye güne.
Altın bilezikler o kokulu ten.
Mona Rosa. Siyah güller, ak güller. 
Geyve'nin gülleri ve beyaz yatak.
Kanadı kırık kuş merhamet ister, 
Ah senin yüzünden kana batacak. 
Mona Rosa. Siyah güller, ak güller.",18
Ben Hayatta En Çok Babamı Sevdim,Can Yücel,"Hayatta ben en çok babamı sevdim
Karaçalılar gibi yardan bitme bir çocuk
Çarpık bacaklarıyla -ha düştü, ha düşecek-
Nasıl koşarsa ardından bir devin 
O çapkın babamı ben öyle sevdim
Bilmezdi ki oturduğumuz semti
Geldi mi de gidici-hep, hep acele işi! -
Çağın en güzel gözlü maarif müfettişi
Atlastan bakardım nereye gitti
Öyle öyle ezberledim gurbeti
Sevinçten uçardım hasta oldum mu
40'ı geçerse ateş, çağrırlar İstanbul'a
Bir helalleşmek ister elbet, diğ'mi, oğluyla! 
Tifoyken başardım bu aşk oyununu
Ohh dedim, göğsüne gömdüm burnumu
En son teftişine çıkana değin
Koştururken ardından o uçmaktaki devin
Daha başka tür aşklar, geniş sevdalar için
Açıldı nefesim, fikrim, canevim
Hayatta ben en çok babamı sevdim.",19
Etme,Mevlana Celaleddin Rumi,"Duydum ki bizi bırakmaya azmediyorsun, etme.
Başka bir yar, başka bir dosta meylediyorsun, etme.
Sen yadeller dünyasında ne arıyorsun yabancı? 
Hangi hasta gönüllüyü kastediyorsun, etme.
Çalma bizi, bizden bizi, gitme o ellere doğru.
Çalınmış başkalarına nazar ediyorsun, etme.
Ey ay, felek harab olmuş, altüst olmuş senin için...
Bizi öyle harab, öyle altüst ediyorsun, etme.
Ey, makamı var ve yokun üzerinde olan kişi,
Sen varlık sahasını öyle terk ediyorsun, etme.
Sen yüz çevirecek olsan, ay kapkara olur gamdan. 
Ayın da evini yıkmayı kastediyorsun, etme.
Bizim dudağımız kurur sen kuruyacak olsan.
Gözlerimizi öyle yaş dolu ediyorsun, etme.
Aşıklarla başa çıkacak gücün yoksa eğer; 
Aşka öyleyse ne diye hayret ediyorsun, etme.
Ey, cennetin cehennemin elinde oldugu kişi,
Bize cenneti öyle cehennem ediyorsun, etme.
Şekerliğinin içinde zehir zarar vermez bize,
O zehiri o şekerle sen bir ediyorsun, etme.
Bizi sevindiriyorsun, huzurumuz kaçar öyle.
Huzurumu bozuyorsun, sen mahvediyorsun, etme.
Harama bulaşan gözüm, güzelliğinin hırsızı.
Ey hırsızlığa da değen hırsızlık ediyorsun, etme.
İsyan et ey arkadaşım, söz söyleyecek an değil.
Aşkın baygınlığıyla ne meşk ediyorsun, etme.",20
Her Şey Sende Gizli,Can Yücel,"Yerin seni çektiği kadar ağırsın, 
Kanatların çırpındığı kadar hafif.. 
Kalbinin attığı kadar canlısın, 
Gözlerinin uzağı gördüğü kadar genç...
Sevdiklerin kadar iyisin, 
Nefret ettiklerin kadar kötü.. 
Ne renk olursa olsun kaşın gözün, 
Karşındakinin gördüğüdür rengin.. 
Yaşadıklarını kâr sayma: 
Yaşadığın kadar yakınsın sonuna; ne kadar yaşarsan yaşa, 
Sevdiğin kadardır ömrün.. 
Gülebildiğin kadar mutlusun. 
Üzülme bil ki ağladığın kadar güleceksin 
Sakın bitti sanma her şeyi, 
Sevdiğin kadar sevileceksin. 
Güneşin doğuşundadır doğanın sana verdiği değer 
Ve karşındakine değer verdiğin kadar insansın. 
Bir gün yalan söyleyeceksen eğer; 
Bırak karşındaki sana güvendiği kadar inansın. 
Ay ışığındadır sevgiliye duyulan hasret, 
Ve sevgiline hasret kaldığın kadar ona yakınsın. 
Unutma yagmurun yağdığı kadar ıslaksın, 
Güneşin seni ısıttığı kadar sıcak. 
Kendini yalnız hissetiğin kadar yalnızsın 
Ve güçlü hissettiğin kadar güçlü. 
Kendini güzel hissettiğin kadar güzelsin.. 
İşte budur hayat! 
İşte budur yaşamak, 
Bunu hatırladığın kadar yaşarsın 
Bunu unuttuğunda aldığın her nefes kadar üşürsün 
Ve karşındakini unuttuğun kadar çabuk unutulursun 
Çiçek sulandığı kadar güzeldir, 
Kuşlar ötebildiği kadar sevimli, 
Bebek ağladığı kadar bebektir. 
Ve herşeyi öğrendiğin kadar bilirsin, 
bunu da öğren, 
Sevdiğin kadar sevilirsin...",21
Ansızın,Özdemir Asaf,"Ben sensiz olanlara seni aratıyorum, 
Ben sensiz kalanlara seni yaratıyorum, 
Seni saklayacağım, seni yazıp-andıkça
Kendimi çoğaltıyor, seni kuşatıyorum.
Unutturmayacağım, seni yaşatacağım, 
Kendimi çoğalttıkça, seni kuşatacağım, 
Her zamanda, her yerde sen bende yaşadıkça...
Sen evreninde sana seni aratacağım.",22
Demedim Mi?,Mevlana Celaleddin Rumi,"Oraya gitme demedim mi sana, 
seni yalnız ben tanırım demedim mi? 
Demedim mi bu yokluk yurdunda hayat çeşmesi ben'im? 
Bir gün kızsan bana, 
alsan başını, 
yüz bin yıllık yere gitsen, 
dönüp kavuşacağın yer ben'im demedim mi? 
Demedim mi şu görünene razı olma, 
demedim mi sana yaraşır otağı kuran ben'im asıl, 
onu süsleyen, bezeyen ben'im demedim mi? 
Ben bir denizim demedim mi sana? 
Sen bir balıksın demedim mi? 
Demedim mi o kuru yerlere gitme sakın, 
senin duru denizin ben'im demedim mi? 
Kuşlar gibi tuzağa gitme demedim mi? 
Demedim mi senin uçmanı sağlayan ben'im, 
senin kolun kanadın ben'im demedim mi? 
Demedim mi yolunu vururlar senin, 
demedim mi soğuturlar seni.
Oysa senin ateşin ben'im, 
sıcaklığın ben'im demedim mi? 
Türlü şeyler derler sana demedim mi? 
Kötü huylar edinirsin demedim mi? 
Ölmezlik kaynağını kaybedersin demedim mi? 
Yani beni kaybedersin demedim mi? 
Söyle, bunları sana hep demedim mi?",23
Ay Karanlık,Ahmed Arif,"Maviye, 
Maviye çalar gözlerin, 
Yangın mavisine.
Rüzgarda asi, 
Körsem, 
Senden gayrısına yoksam, 
Bozuksam, 
Can benim, düş benim, 
Ellere nesi? 
Hadi gel, 
Ay karanlık...",24
Terketmedi Sevdan Beni,Ahmed Arif,"Terketmedi sevdan beni,
Aç kaldım, susuz kaldım,
Hayın,....................",25
Akıl Gözü,Özdemir Asaf,"Seni bulmaktan önce aramak isterim.
Seni sevmekten önce anlamak isterim.
Seni bir yaşam boyu bitirmek değil de, 
Sana hep, hep yeniden başlamak isterim.",26
